工作,公司,工作內容,技能
後端工程師 Backend Engineer,尚承科技股份有限公司,"｜工作內容｜
・後端服務的開發、設計與維護
・使用 API 與前端 Web/APP通信
・界接/提供第三方 API
・優化系統性能與除錯
・其他主管交辦事項

｜應徵條件｜
・1年以上開發經驗
・熟悉 golang 語言
・熟悉 MySQL或任一關聯資料庫、Redis
・熟悉 Linux 開發環境
・RESTful API 開發經驗
・擁有良好的開發習慣，熟悉 Git 以及 Git 開發流程與版本控制","系統架構規劃,軟體工程系統開發"
後端工程師,數辰創藝科技股份有限公司,"本職務任職於樂創工作室

我們希望你有的特質:
1.持續探索專業領域最新技術，樂於研究與實踐。
2.想挑戰自我的能力，願意嘗試在快節奏的公司工作。
3.溝通能力佳，喜歡團隊合作更勝一人球隊。

工作內容：
-程式開發與維護：
    1.參與專案型或公司內部產品開發和維護。
    2.協助設計和實現高效、可擴展和穩定的後端服務。
-資料庫管理：
    1.管理和優化資料庫查詢，確保數據的一致性和完整性。
    2.參與資料庫的設計和規劃。
-技術文件撰寫：
    1.編撰技術文檔，包括但不限於 API 文件、系統架構等。
    2.確保代碼的可讀性和維護性。
-團隊協作：
    1.與PM、前端工程師和設計師密切合作，確保功能的順利實現。
    2.持續對規劃、討論、開發、驗證的協作流程提出建議。

技能與工具
1.後端相關開發框架(JavaScript, Node.js.)
2.熟悉資料庫知識（MySQL、PostgreSQL MS Sql.）
3.熟悉Linux、Docker/Docker Compose / VM / AWS 環境佈屬
4.具Git 版本控管經驗
5.熟悉 RESTful API 設計和開發。

必要條件：
1.擁有2年以上實務經驗，具備獨立執行、系統分析和軟體設計能力。
2.具有良好的溝通能力和團隊配合能力，co-work with PM / designers，了解團隊優先順序並進行軟體程式開發。

加分條件：
Python PHP

如果有 github account 或是作品，請與履歷一併提供參考，謝謝
Interview process
1. 收到履歷後, 會轉給相關的技術同事評估
2. 如果有興趣, 會email 發初步的問題詢問
3. 約面試, 面試前可能會有一些小功課需要先準備
4. 面試後評估是否合適, 如果有發面試邀請, 不管適合或是不適合, 都會盡快以 email 聯繫你
",無
後端工程師,代碼科技有限公司,"ECOLUX尚承科技與全球半導體大廠合作，官方合作夥伴包含ARM、Himax、Infineon、Microchip、NXP、Renesas...等，專注研發並提供「智慧物聯網產品資安解決方案」。

ECOLUX後端工程師需熟練後端開發及資料庫設計，能跨功能團隊協作，解決技術挑戰，確保應用程式性能、安全性和可擴展性。

工作內容包含：
－負責產品後端/資料庫規劃與評估
－開發並優化後端框架
－配合專案需求進行功能設計
－API開發，並協助實現產品功能
 

【我們期待您具備以下特質/經歷】

後端技能：
－對於spring boot 、spring cloud 熟悉。
－對於spring JPA、Hibernate 熟悉。
－對於資料庫 redis、mysql 熟悉。
－對於AWS或其它微服務有相關的經歷
－Docker 或 Kubernetes (K8s) 部屬相關經驗
－有Golang規劃開發經驗加分


※　主動應徵投遞者，請自備作品集或專案簡報　※


","系統架構規劃,軟體工程系統開發,軟體程式設計,結構化程式設計,網路程式設計,資料庫程式設計"
後端工程師,尼采實業股份有限公司,"1.負責開發和維護後端系統和資料庫軟體之分析、設計以及程式撰寫。
2.進行軟體之測試與修改
3.規劃、執行與維護量產的產品
4.協助研發軟體新技術與新工具
5. 與前端團隊協作，協調系統功能的實踐
6. 解決問題並持續優化現有系統
7. 架設新功能和技術，以優化系統效率和性能
8. 協調溝通後端與研發相關團隊的專案任務

後端工程師為公司開發並維護高效的系統運作和資料庫，確保公司的運營和業務能夠順利執行。
此職務具有無限的發展前景，隨著公司的擴張，後端工程師將有更多的機會參與到戰略性決策和大型項目中。
如果您滿足以上條件並對此職位感興趣，請與我們聯繫，期待您的來訊！","系統架構規劃,系統維護操作,系統整合分析,軟體工程系統開發,軟體品質與保證,資料庫系統管理維護,資料庫程式設計,資料庫軟體應用"
車聯網SaaS系統 - 後端工程師 Backend Engineer,三維人股份有限公司,"What you’ll do (#工作內容) : 
1.根據分配之專案，進行軟體開發與維護。			
2.協助研發與導入軟體新技術與新工具。			
3.規劃執行需求功能之技術架構，掌握軟體設計進度。			
 
What you’ll need (#希望您是這樣的人) 
  1.⁠ ⁠精通任一主流後端程式語言 如 NodeJs, Go, ...etc 等語言。
 2.⁠ ⁠具有RESTful API開發經驗。
 3.⁠ ⁠⁠熟悉MySQL CRUD與Stored Procedure 等操作⁠
 4.⁠ ⁠三年以上軟體開發經驗。
 5.⁠ ⁠團隊合作能力佳。
","軟體工程系統開發,軟體程式設計,資料庫程式設計"
後端工程師,兆利豐股份有限公司,"本公司為互聯網產品製造商，本部(雲端資訊部)主要業務為開發、架設與維護資訊平台
故相關工作均與硬體設備連動有關(例:停車感測、溫溼度監控)

前端需開發客戶體驗佳的介面 後端則需介接 RESTful API 或處理報表產出資訊等....
工作已達到客戶需求為主要目標

目前已使用以下技術開發對應程式
Mariadb(Mysql) / PHP / Go / JQuery / HTML5

工作內容:

1. 熟悉 PHP 程式語言，熟練掌握各種 PHP 函數的使用方法，能夠根據需求進行調整
2. 熟悉 Mariadb(Mysql) 資料庫，能夠根據需求設計好的資料庫結構，並熟悉SQL語言
3. 負責任並具備獨立完成整個專案能力。
4. 抗壓力強 能接受新事物並對學習新技術具有熱情。
5. 其他主管交辦事項。

擅長工具:
Mariadb(Mysql)  / PHP / RESTful API

可加分項目:
* 網路資料庫程式開發經驗(例: 留言板、討論區 聊天室等....)

面談時請攜帶作品集，線上作品尤佳
",無
Backend Engineer / 後端工程師,元遊科技有限公司,"請透過以下連結投遞，我們將優先回覆：https://reurl.cc/XmlLWR

我們正打造一款為中小型物流商數位轉型的「物流管理系統」，致力於讓物流業者透過系統中的數位化功能達到有效率且迅速的運送服務！

*後端團隊主要使用Node.js開發，過往有碰過MVC 框架（ASP.net/ Spring/ Laravel/Django 等）歡迎投遞，使用過 Express / NestJs 尤佳！*


｜工作內容｜
1.對現有產品系統與專案項目進行日常維護及開發
2.與前端、設計、PM、QA等團隊合作，根據需求計和構建可擴展的後端API
3.串接多元第三方服務
4.參與code review以維護高質量的程式碼文化
5.編寫單元測試，測試所編寫的程式碼
6.與基礎架構團隊合作進行性能優化
7.參與前瞻的車聯網雲端架構設計","作業系統基本操作,系統架構規劃,軟體工程系統開發,軟體程式設計,網路程式設計,資料庫系統管理維護,資料庫程式設計,資料庫軟體應用"
後端工程師,紅信科技有限公司,"目前主力產品為全台灣有1萬家店家在使用的Posky普市集- 為免費的POS系統，整合前後台(前台點餐與結帳、後台進銷存管理)、功能完整幫助店家快速建構營業力。

與Posky攜手成長！我們的使命是提供高CP值的雲端POS服務，協助新創店家蓬勃發展。如果你渴望與客戶共同成長，展現你的才華，現在就加入我們的團隊，一同創造成功的故事！

#智慧餐飲科技服務
#POS 餐廳點餐系統
#餐飲顧問服務

【工作內容】
* 程式開發：
    * 負責企業表單系統、報表服務等後端開發工作。
    * 協助設計和實現高效、可擴展和穩定的後端服務。
* 資料庫管理：
    * 管理和優化資料庫查詢，確保數據的一致性和完整性。
    * 參與資料庫的設計和規劃。
* 技術文件撰寫：
    * 編撰技術文檔，包括但不限於API文件、系統架構等。
* 團隊協作：
    * 與PM、前端工程師密切合作，確保功能的順利實現。
    * 持續對規劃、討論、開發、驗證的協作流程提出建議。

【必備條件】
* 熟悉RESTful API設計和開發。
* 熟悉後端相關開發框架Node.js express等。
* 熟悉資料庫知識，包括MySQL、PostgreSQL等關聯式資料庫。
* 具備Git版本控管經驗。


【加分條件】
* 具有一年以上AWS雲端服務開發經驗。
* 熟悉自動化測試工具
* 熟悉CI/CD相關流程
* 具有Serverless與Container開發經驗
* 熟悉 Design Pattern，並應用在實際專案中，以提高Code結構和可讀性
","軟體工程系統開發,軟體程式設計,模組化系統設計,資料庫系統管理維護,資料庫程式設計"
後端工程師 Backend Engineer,采旆有限公司,"【基本需求】
軟體開發和版本控制：ASP.NET Core, Microsoft SQL Server, GitLab, etc.
自動化測試： NUnit, Vitest, K6, etc.

【工作職責】
• 依據客戶的需求，開發並維護高效能、高安全性、使用者易用的網站應用程式。
• 整合網站應用程式至資料庫導向或 API 導向的後台系統。
• 提供 24x7 的技術支援。
• 開發、改善所有軟體產品，並提供維護所需的所有必要文件。

【工作規範】
基本要求
• 熟悉物件導向設計
• 對於後端有一定程度了解與基本實踐
• 良好的團隊合作能力，能夠融入多元化的工作環境
• 積極的學習態度，願意不斷探索新技術和方法","軟體工程系統開發,軟體品質與保證,軟體整合測試,軟體程式設計,結構化程式設計,資料庫程式設計"
後端工程師 (Backend Developer),契星科技股份有限公司,"工作內容
1.負責 Golang 相關開發及優化系統項目。
2.系統平台後端架構設計、測試與維護。
3.開發高併發、大型分佈式系統。
4.開發流程的持續改善及工具的建置。
5.獨立完成系統模組的開發，解決系統開發過程中的技術問題。
6.參與 API 設計開發，以及相關支援功能的開發。
7.熟悉TCP/IP、HTTP等網路通訊協定，熟悉websocket。

必要條件：
- 熟悉 Golang 語言
- 熟悉 Git 版控指令
- 熟悉 PostgreSQL
- 熟悉 Redis
- 具備 Docker 使用經驗

加分條件：
- 熟悉 Golang 爬蟲開發
- 熟悉 Golang 製作.exe 工具",無
